 a b
 100  0.802639224503
 115  0.492910959288
 133  1.31598958014
 153  0.335308554416
 177  0.438456547114
 205  0.476590812473
 237  0.540940910883
 273  0.196587101327
 316  0.246100734697
 365  0.217151187997
 421  0.128641911778
 486  0.0535639648759
 562  0.0935842266715
 649  0.12093844298
 749  0.170342037841
 865  0.0308566937748
 1000  0.051849837015
 1154  0.0686718679939
 1333  0.0598027993296
 1539  0.0849902359533
 1778  0.0905799179135
 2053  0.0518288188455
 2371  0.0457712639288
 2738  0.0391151025132
 3162  0.0423725009537
 3651  0.017465422709
 4216  0.0548122676583
 4869  0.473534801299
 5623  4.15215864652
 6493  17.7693433112
 7498  59.2675832042
 8659  98.2648288551
 10000  99.8860823115
 11547  99.9732521983
 13335  99.9865373268
 15399  99.9932155525
 17782  99.9965788171
 20535  99.9982713131
 23713  99.9982507716
 27384  99.9991131735
 31622  99.9990992604
 36517  99.9995414232
 42169  99.9995318533
 48696  99.999520767
 56234  99.9997536682
 64938  99.9997461729
 74989  99.9997368608
 86596  99.9997263681
 100000  99.999713481
 
