w  FPR   FNR   Error   1-E   Phi   percentDup
100  0  29.27  29.27  70.73  83.52  0.04
112  0  27.07  27.07  72.93  84.63  0.05
125  0  28.09  28.1  71.9  83.77  0.05
141  0  27.51  27.51  72.49  83.75  0.06
158  0  24.28  24.28  75.72  85.84  0.06
177  0  26.6  26.6  73.4  84.29  0.07
199  0  23.23  23.24  76.76  86.04  0.08
223  0  24.19  24.2  75.8  85.57  0.09
251  0  24.37  24.37  75.63  85.42  0.1
281  0  25.11  25.12  74.88  84.72  0.11
316  0.01  25.7  25.71  74.29  83.85  0.12
354  0.01  24.19  24.2  75.8  84.61  0.14
398  0.01  24.7  24.7  75.3  84.26  0.16
446  0.01  25.93  25.94  74.06  83.13  0.18
501  0.01  26.36  26.37  73.63  82.36  0.2
562  0.02  25.82  25.83  74.17  82.39  0.23
630  0.02  24.39  24.41  75.59  82.77  0.25
707  0.03  24.54  24.56  75.44  81.81  0.28
794  0.03  23.38  23.41  76.59  82.15  0.31
891  0.04  22.75  22.8  77.2  81.61  0.34
999  0.05  23.74  23.79  76.21  80.35  0.38
1122  0.07  23.6  23.67  76.33  79.57  0.43
1258  0.08  23.66  23.74  76.26  78.79  0.47
1412  0.1  23.95  24.05  75.95  77.94  0.53
1584  0.13  24.66  24.79  75.21  76.46  0.6
1778  0.16  25.17  25.33  74.67  75.15  0.68
1995  0.2  24.64  24.83  75.17  74.8  0.76
2238  0.26  24.88  25.13  74.87  73.12  0.85
2511  0.32  24.84  25.15  74.85  71.95  0.95
2818  0.4  24.14  24.54  75.46  71.18  1.07
3162  0.49  25.1  25.59  74.41  69.37  1.2
3548  0.61  24.78  25.39  74.61  68.27  1.36
3981  0.77  24.41  25.18  74.82  66.85  1.51
4466  0.97  24.68  25.66  74.34  64.98  1.7
5011  1.21  24.14  25.35  74.65  63.74  1.91
5623  1.5  24.33  25.83  74.17  62  2.14
6309  1.89  23.69  25.58  74.42  60.47  2.39
7079  2.33  22.99  25.33  74.67  59.18  2.67
7943  2.9  22.73  25.64  74.36  57.43  2.99
8912  3.59  22.29  25.88  74.12  55.81  3.35
9999  4.47  21.76  26.22  73.78  54.06  3.74
11220  5.51  21.63  27.14  72.86  52.14  4.18
12589  6.77  20.99  27.76  72.24  50.52  4.68
14125  8.34  20.19  28.53  71.47  48.81  5.22
15848  10.21  19.43  29.64  70.36  47.1  5.84
17782  12.48  18.25  30.73  69.27  45.52  6.52
19952  15.23  16.84  32.07  67.93  43.93  7.26
22387  18.51  15.55  34.06  65.94  42.2  8.1
25118  22.44  14.21  36.66  63.34  40.33  9.01
28183  27.06  12.39  39.44  60.56  38.66  10.04
31622  32.49  10.66  43.16  56.84  36.76  11.19
35481  37.38  9.88  47.26  52.74  35.06  12.43
39810  37.24  14.31  51.55  48.45  33.69  13.82
44668  37.22  19.01  56.24  43.76  31.78  15.34
50118  37.22  23.26  60.48  39.52  29.91  17
56234  37.19  26.94  64.13  35.87  28.24  18.81
63095  37.16  30.14  67.3  32.7  26.71  20.73
70794  37.14  33.09  70.22  29.78  25.19  22.84
79432  37.12  35.77  72.89  27.11  23.7  25.15
89125  37.08  38.06  75.14  24.86  22.38  27.58
